Date,Open,High,Low,Close,Volume,Change
2014-02-20,34653,34760,33213,33470,1695713,-0.028193141894834683
2014-02-21,33753,34402,33322,33865,952250,0.01180161338512109
2014-02-24,34116,34943,33863,33938,1060338,0.0021556178945814075
2014-02-25,34223,34403,33575,34117,601186,0.005274323766869093
2014-02-26,33971,34475,33215,33938,898596,-0.005246651229592336
2014-02-27,33861,34725,33861,34046,819282,0.0031822735576638728
2014-02-28,34148,34543,34005,34513,775693,0.013716736180461764
2014-03-03,34728,35736,34584,35665,1888990,0.03337872685654686
2014-03-04,35550,35696,33140,33289,1474604,-0.0666199355110052
2014-03-05,33931,34039,32744,33289,2078604,0.0
2014-03-06,33285,33536,32349,32786,1165906,-0.015110096428249564
2014-03-07,33248,33393,32925,33218,635835,0.013176355761605585
2014-03-10,33103,33715,32564,33289,733646,0.0021373953880425844
2014-03-11,33285,33897,33285,33829,664012,0.016221574694343488
2014-03-12,32530,32856,30444,31022,3962087,-0.08297614472789616
2014-03-13,31164,31560,29688,31094,2488202,0.0023209335310425683
2014-03-14,30657,30873,30225,30230,867994,-0.027786711262623
2014-03-17,29937,30442,29685,29943,600438,-0.00949388025140585
2014-03-18,30225,30550,30189,30230,440073,0.00958487793474272
2014-03-19,30405,30477,29937,29943,445162,-0.00949388025140585
2014-03-20,29793,30045,29002,29438,834014,-0.016865377550679628
2014-03-21,29397,30009,29397,29906,442339,0.01589781914532229
2014-03-24,30299,30299,29760,29762,385089,-0.004815087273456808
2014-03-25,29865,29974,29506,29727,390420,-0.0011759962368120824
2014-03-26,29725,34079,29725,33110,4500843,0.11380226729908838
2014-03-27,33107,33323,31487,32066,2046263,-0.0315312594382362
2014-03-28,31956,32568,31487,31598,883069,-0.014594898022827874
2014-03-31,31593,31917,31196,31670,579998,0.002278625229444886
2014-04-01,31665,32458,31556,31958,1033105,0.009093779602147078
2014-04-02,32351,33467,32244,33073,1647952,0.034889542524563444
2014-04-03,33107,38001,33107,35161,8297802,0.06313306927100659
2014-04-04,36056,36632,34832,35269,2820830,0.0030715849947384744
2014-04-07,34834,37714,34727,36708,3398654,0.04080070316708717
2014-04-08,36344,37136,35624,35629,1462805,-0.029394137517707364
2014-04-09,36130,36562,35447,35701,1029531,0.0020208257318476974
2014-04-10,36418,36849,35626,35737,1159923,0.0010083751155429699
2014-04-11,35483,36202,35050,35988,1050104,0.0070235330329910806
2014-04-14,36416,37495,36416,37069,1938401,0.030037790374569218
